,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Jul 6, 2022","$760,000",4bed,3.5bath,"4,124sqft",1.38acre lot,/realestateandhomes-detail/16-Theresa-Ct_Carmel_NY_10512_M34575-76744
,"Sold - Jun 20, 2022","$351,000",2bed,2bath,"1,686sqft",1.52acre lot,/realestateandhomes-detail/410-Peekskill-Hollow-Rd_Putnam-Valley_NY_10579_M37076-60261
,"Sold - Jun 17, 2022","$610,000",4bed,2bath,"2,689sqft",1.31acre lot,/realestateandhomes-detail/266-Cutlers-Farm-Rd_Monroe_CT_06468_M39803-94103
"Image for 204 Sharp Hill Rd, Wilton, CT 06897 is not found","Sold - Jun 17, 2022","$525,000",3bed,1.5bath,"1,224sqft",1acre lot,/realestateandhomes-detail/204-Sharp-Hill-Rd_Wilton_CT_06897_M37845-22383
"Image for 5 Whippoorwill Ln, Weston, CT 06883 is not found","Sold - Jun 17, 2022","$690,000",4bed,3bath,"2,847sqft",1.84acre lot,/realestateandhomes-detail/5-Whippoorwill-Ln_Weston_CT_06883_M42185-32922
"Image for 64 Range Rd, Wilton, CT 06897 is not found","Sold - Jun 17, 2022","$750,000",3bed,1.5bath,"2,060sqft",1acre lot,/realestateandhomes-detail/64-Range-Rd_Wilton_CT_06897_M44181-19680
"Image for 4 Morningside Dr, Ossining, NY 10562 is not found","Sold - Jun 16, 2022","$618,000",3bed,3bath,"2,258sqft",1.96acre lot,/realestateandhomes-detail/4-Morningside-Dr_Ossining_NY_10562_M48637-18642
"Image for 4 Rockhouse Rd, Wilton, CT 06897 is not found","Sold - Jun 16, 2022","$695,000",4bed,2.5bath,"1,840sqft",1.93acre lot,/realestateandhomes-detail/4-Rockhouse-Rd_Wilton_CT_06897_M33030-20329
"Image for 168 Brushy Hill Rd, Newtown, CT 06470 is not found","Sold - Jun 15, 2022","$750,000",4bed,2.5bath,"3,060sqft",5.23acre lot,/realestateandhomes-detail/168-Brushy-Hill-Rd_Newtown_CT_06470_M32157-63666
"Image for 70 Elvira Ln, Fairfield, CT 06824 is not found","Sold - Jun 15, 2022","$675,000",4bed,2.5bath,"2,390sqft",2.58acre lot,/realestateandhomes-detail/70-Elvira-Ln_Fairfield_CT_06824_M42118-01085
"Image for 190 Old Redding Rd, Redding, CT 06896 is not found","Sold - Jun 15, 2022","$500,000",2bed,2bath,"2,273sqft",1.82acre lot,/realestateandhomes-detail/190-Old-Redding-Rd_Redding_CT_06896_M46689-48698
"Image for 4 Saw Mill Ridge Rd, Newtown, CT 06470 is not found","Sold - Jun 15, 2022","$515,000",4bed,2.5bath,"2,278sqft",1acre lot,/realestateandhomes-detail/4-Saw-Mill-Ridge-Rd_Newtown_CT_06470_M35924-78202
"Image for 37 Rock Rimmon Ln, Stamford, CT 06903 is not found","Sold - Jun 14, 2022","$725,000",4bed,2.5bath,"2,280sqft",1.02acre lot,/realestateandhomes-detail/37-Rock-Rimmon-Ln_Stamford_CT_06903_M32039-75860
"Image for 62 Pleasant Rdg, Putnam Valley, NY 10579 is not found","Sold - Jun 14, 2022","$370,000",2bed,1bath,"1,301sqft",1.1acre lot,/realestateandhomes-detail/62-Pleasant-Rdg_Putnam-Valley_NY_10579_M38415-56792
"Image for 15 Snowberry Ln, Wilton, CT 06897 is not found","Sold - Jun 13, 2022","$730,000",3bed,2.5bath,"1,824sqft",2.44acre lot,/realestateandhomes-detail/15-Snowberry-Ln_Wilton_CT_06897_M34293-14791
"Image for 329 Barrack Hill Rd, Ridgefield, CT 06877 is not found","Sold - Jun 13, 2022","$680,000",4bed,3.5bath,"2,552sqft",1.08acre lot,/realestateandhomes-detail/329-Barrack-Hill-Rd_Ridgefield_CT_06877_M37012-38076
"Image for 41 Merriland Rd, Stamford, CT 06903 is not found","Sold - Jun 13, 2022","$725,000",3bed,3bath,"2,253sqft",1.3acre lot,/realestateandhomes-detail/41-Merriland-Rd_Stamford_CT_06903_M36871-77443
"Image for 36 Revere Pl, Ridgefield, CT 06877 is not found","Sold - Jun 10, 2022","$730,000",4bed,2.5bath,"2,658sqft",1.16acre lot,/realestateandhomes-detail/36-Revere-Pl_Ridgefield_CT_06877_M42319-16470
"Image for 38 Winston Ln, Garrison, NY 10524 is not found","Sold - Jun 10, 2022","$331,000",2bed,1bath,"1,218sqft",1.1acre lot,/realestateandhomes-detail/38-Winston-Ln_Garrison_NY_10524_M49009-64378
"Image for 6 Fullmar Ln, Norwalk, CT 06850 is not found","Sold - Jun 10, 2022","$675,000",3bed,2bath,"1,328sqft",1acre lot,/realestateandhomes-detail/6-Fullmar-Ln_Norwalk_CT_06850_M41492-49054
"Image for 46 Ward Ln, Stamford, CT 06907 is not found","Sold - Jun 9, 2022","$350,000",3bed,2bath,"2,412sqft",1acre lot,/realestateandhomes-detail/46-Ward-Ln_Stamford_CT_06907_M45175-63067
"Image for 5 Quarter Horse Dr, Monroe, CT 06468 is not found","Sold - Jun 9, 2022","$715,000",4bed,2.5bath,"2,808sqft",2acre lot,/realestateandhomes-detail/5-Quarter-Horse-Dr_Monroe_CT_06468_M42190-45015
"Image for 60 Old Hawleyville Rd, Bethel, CT 06801 is not found","Sold - Jun 9, 2022","$450,000",3bed,1.5bath,"1,903sqft",1.5acre lot,/realestateandhomes-detail/60-Old-Hawleyville-Rd_Bethel_CT_06801_M31074-58812
"Image for 111 Stebbins Rd, Carmel, NY 10512 is not found","Sold - Jun 8, 2022","$625,000",4bed,2.5bath,"2,120sqft",1.16acre lot,/realestateandhomes-detail/111-Stebbins-Rd_Carmel_NY_10512_M43334-64085
"Image for 150 Dixon Rd, Carmel, NY 10512 is not found","Sold - Jun 8, 2022","$400,000",3bed,1bath,"1,352sqft",2.28acre lot,/realestateandhomes-detail/150-Dixon-Rd_Carmel_NY_10512_M34550-05394
"Image for 18 Round Hill Dr, Stamford, CT 06903 is not found","Sold - Jun 8, 2022","$600,000",4bed,2.5bath,"2,626sqft",1.03acre lot,/realestateandhomes-detail/18-Round-Hill-Dr_Stamford_CT_06903_M41361-08881
"Image for 69 Buck Hill Rd, Ridgefield, CT 06877 is not found","Sold - Jun 7, 2022","$680,000",3bed,1.5bath,"1,905sqft",1.08acre lot,/realestateandhomes-detail/69-Buck-Hill-Rd_Ridgefield_CT_06877_M44211-41554
"Image for 179 Barger St, Putnam Valley, NY 10579 is not found","Sold - Jun 7, 2022","$555,000",4bed,3bath,"1,752sqft",1acre lot,/realestateandhomes-detail/179-Barger-St_Putnam-Valley_NY_10579_M37805-15178
"Image for 111 Gray Farms Rd, Stamford, CT 06905 is not found","Sold - Jun 7, 2022","$775,000",4bed,3.5bath,"3,194sqft",1.55acre lot,/realestateandhomes-detail/111-Gray-Farms-Rd_Stamford_CT_06905_M42687-90157
"Image for 175 Old Church Ln, Pound Ridge, NY 10576 is not found","Sold - Jun 6, 2022","$725,000",4bed,3bath,"2,132sqft",5.31acre lot,/realestateandhomes-detail/175-Old-Church-Ln_Pound-Ridge_NY_10576_M46018-41417
"Image for 48 Old Branchville Rd, Ridgefield, CT 06877 is not found","Sold - Jun 6, 2022","$600,000",4bed,3.5bath,"3,590sqft",2.86acre lot,/realestateandhomes-detail/48-Old-Branchville-Rd_Ridgefield_CT_06877_M32962-69079
"Image for 256 Fillow St, Norwalk, CT 06850 is not found","Sold - Jun 6, 2022","$630,000",3bed,3bath,"1,856sqft",1acre lot,/realestateandhomes-detail/256-Fillow-St_Norwalk_CT_06850_M38448-43165
"Image for 164 Perry Ave, Norwalk, CT 06850 is not found","Sold - Jun 6, 2022","$500,000",4bed,2.5bath,"2,687sqft",1.01acre lot,/realestateandhomes-detail/164-Perry-Ave_Norwalk_CT_06850_M48627-88278
"Image for 222 Guinea Rd, Brewster, NY 10509 is not found","Sold - Jun 6, 2022","$420,000",3bed,2bath,"2,400sqft",3.71acre lot,/realestateandhomes-detail/222-Guinea-Rd_Brewster_NY_10509_M32099-88120
"Image for 155 Richards Dr, Monroe, CT 06468 is not found","Sold - Jun 6, 2022","$410,000",3bed,2bath,"2,694sqft",1.15acre lot,/realestateandhomes-detail/155-Richards-Dr_Monroe_CT_06468_M41398-92337
"Image for 26 Shut Rd, Newtown, CT 06470 is not found","Sold - Jun 6, 2022","$520,000",4bed,2bath,"1,390sqft",1.01acre lot,/realestateandhomes-detail/26-Shut-Rd_Newtown_CT_06470_M46025-74906
"Image for 9 Willenbarb Rd, Monroe, CT 06468 is not found","Sold - Jun 6, 2022","$255,000",3bed,1.5bath,"1,390sqft",2acre lot,/realestateandhomes-detail/9-Willenbarb-Rd_Monroe_CT_06468_M33049-26150
"Image for 44 Pheasant Ridge Rd, Redding, CT 06896 is not found","Sold - Jun 6, 2022","$250,000",3bed,2.5bath,"1,472sqft",2.02acre lot,/realestateandhomes-detail/44-Pheasant-Ridge-Rd_Redding_CT_06896_M49707-13779
"Image for 73 Fair St, Carmel, NY 10512 is not found","Sold - Jun 3, 2022","$492,500",3bed,3bath,"1,600sqft",2.27acre lot,/realestateandhomes-detail/73-Fair-St_Carmel_NY_10512_M36406-27054
