,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Nov 16, 2022","$435,000",2bed,1bath,758sqft,1.97acre lot,/realestateandhomes-detail/414-Sprout-Brook-Rd_Garrison_NY_10524_M47759-92413
,"Sold - Nov 1, 2022","$720,000",3bed,2.5bath,"1,924sqft",1.09acre lot,/realestateandhomes-detail/119-Cedar-Rd_Katonah_NY_10536_M49626-60422
,"Sold - Nov 1, 2022","$660,000",4bed,2bath,"1,853sqft",1.82acre lot,/realestateandhomes-detail/623-Millwood-Rd_Mount-Kisco_NY_10549_M40344-25103
"Image for 45 Pines Ln, Chappaqua, NY 10514 is not found","Sold - Oct 25, 2022","$437,272",5bed,3.5bath,"2,955sqft",1.41acre lot,/realestateandhomes-detail/45-Pines-Ln_Chappaqua_NY_10514_M45133-29729
"Image for 133 Peaceable Hill Rd, Brewster, NY 10509 is not found","Sold - Oct 24, 2022","$440,000",3bed,2bath,"1,398sqft",1acre lot,/realestateandhomes-detail/133-Peaceable-Hill-Rd_Brewster_NY_10509_M40901-46522
"Image for 54 Nicole Way, Mahopac, NY 10541 is not found","Sold - Oct 21, 2022","$717,500",3bed,2bath,"2,950sqft",1.54acre lot,/realestateandhomes-detail/54-Nicole-Way_Mahopac_NY_10541_M46416-64801
"Image for 25 Winston Ln, Garrison, NY 10524 is not found","Sold - Oct 21, 2022","$624,500",3bed,2.5bath,"2,144sqft",1.17acre lot,/realestateandhomes-detail/25-Winston-Ln_Garrison_NY_10524_M49320-24914
"Image for 2061 Long Ridge Rd, Stamford, CT 06903 is not found","Sold - Oct 21, 2022","$790,000",5bed,3.5bath,"3,159sqft",1.09acre lot,/realestateandhomes-detail/2061-Long-Ridge-Rd_Stamford_CT_06903_M32703-83770
"Image for 18 Brandon Dr, Mount Kisco, NY 10549 is not found","Sold - Oct 20, 2022","$450,000",5bed,3bath,"2,225sqft",1.94acre lot,/realestateandhomes-detail/18-Brandon-Dr_Mount-Kisco_NY_10549_M30000-02848
"Image for 84 Harvey Rd, Ridgefield, CT 06877 is not found","Sold - Oct 20, 2022","$550,000",3bed,1bath,"1,406sqft",1.11acre lot,/realestateandhomes-detail/84-Harvey-Rd_Ridgefield_CT_06877_M42558-00607
"Image for 61 Lounsbury Rd, Ridgefield, CT 06877 is not found","Sold - Oct 19, 2022","$780,000",4bed,2.5bath,"3,044sqft",3.2acre lot,/realestateandhomes-detail/61-Lounsbury-Rd_Ridgefield_CT_06877_M49122-80782
"Image for 442 Waverly Rd, Shelton, CT 06484 is not found","Sold - Oct 18, 2022","$636,000",3bed,2.5bath,"2,788sqft",1.69acre lot,/realestateandhomes-detail/442-Waverly-Rd_Shelton_CT_06484_M34616-95746
"Image for 2 Greenlawn Rd, Katonah, NY 10536 is not found","Sold - Oct 18, 2022","$730,000",4bed,3bath,"2,382sqft",1.79acre lot,/realestateandhomes-detail/2-Greenlawn-Rd_Katonah_NY_10536_M32863-92136
"Image for 128 Davis Hill Rd, Weston, CT 06883 is not found","Sold - Oct 18, 2022","$750,000",3bed,2bath,"1,641sqft",3.5acre lot,/realestateandhomes-detail/128-Davis-Hill-Rd_Weston_CT_06883_M41668-82326
"Image for 22 Old Town Rd, Bethel, CT 06801 is not found","Sold - Oct 18, 2022","$575,000",3bed,2.5bath,"2,240sqft",1.51acre lot,/realestateandhomes-detail/22-Old-Town-Rd_Bethel_CT_06801_M42098-82668
"Image for 43 Ganung Dr, Ossining, NY 10562 is not found","Sold - Oct 17, 2022","$700,000",3bed,2bath,"1,780sqft",1.22acre lot,/realestateandhomes-detail/43-Ganung-Dr_Ossining_NY_10562_M40134-38783
"Image for 54 Sugar Ln, Newtown, CT 06470 is not found","Sold - Oct 17, 2022","$490,000",3bed,2.5bath,"1,604sqft",1.4acre lot,/realestateandhomes-detail/54-Sugar-Ln_Newtown_CT_06470_M31350-79356
"Image for 2 Easton Heights Ln, Easton, CT 06612 is not found","Sold - Oct 17, 2022","$763,831",5bed,4.5bath,"4,691sqft",10.37acre lot,/realestateandhomes-detail/2-Easton-Heights-Ln_Easton_CT_06612_M31491-50474
"Image for 697 Sport Hill Rd, Easton, CT 06612 is not found","Sold - Oct 17, 2022","$445,000",3bed,1.5bath,"1,720sqft",3acre lot,/realestateandhomes-detail/697-Sport-Hill-Rd_Easton_CT_06612_M37337-90840
"Image for 10 Tranquility Dr, Easton, CT 06612 is not found","Sold - Oct 14, 2022","$660,000",4bed,4.5bath,"4,407sqft",3.1acre lot,/realestateandhomes-detail/10-Tranquility-Dr_Easton_CT_06612_M36281-79159
"Image for 25 Oslo Path, Carmel, NY 10512 is not found","Sold - Oct 14, 2022","$514,000",2bed,1.5bath,"1,386sqft",3.13acre lot,/realestateandhomes-detail/25-Oslo-Path_Carmel_NY_10512_M41981-62820
"Image for 223 Georgetown Rd, Weston, CT 06883 is not found","Sold - Oct 14, 2022","$555,000",3bed,2bath,"1,672sqft",2.08acre lot,/realestateandhomes-detail/223-Georgetown-Rd_Weston_CT_06883_M39530-13081
"Image for 10 Peaceable St, Redding, CT 06896 is not found","Sold - Oct 13, 2022","$695,000",3bed,2.5bath,"1,494sqft",2acre lot,/realestateandhomes-detail/10-Peaceable-St_Redding_CT_06896_M39544-68196
"Image for 38 Meeker Hill Rd, Redding, CT 06896 is not found","Sold - Oct 13, 2022","$575,000",3bed,2.5bath,"2,425sqft",2.41acre lot,/realestateandhomes-detail/38-Meeker-Hill-Rd_Redding_CT_06896_M45116-49155
"Image for 9 Longview Heights Rd, Newtown, CT 06470 is not found","Sold - Oct 13, 2022","$500,000",3bed,2.5bath,"1,849sqft",2.19acre lot,/realestateandhomes-detail/9-Longview-Heights-Rd_Newtown_CT_06470_M46194-38524
"Image for 314 N Salem Rd, Ridgefield, CT 06877 is not found","Sold - Oct 12, 2022","$485,000",3bed,1bath,"1,233sqft",1.08acre lot,/realestateandhomes-detail/314-N-Salem-Rd_Ridgefield_CT_06877_M45340-16760
"Image for 29 Aunt Pattys Ln W, Bethel, CT 06801 is not found","Sold - Oct 11, 2022","$675,000",3bed,2.5bath,"3,090sqft",4.06acre lot,/realestateandhomes-detail/29-Aunt-Pattys-Ln-W_Bethel_CT_06801_M39350-80643
"Image for 128 Old Hawleyville Rd, Bethel, CT 06801 is not found","Sold - Oct 11, 2022","$708,000",4bed,3.5bath,"3,600sqft",1.5acre lot,/realestateandhomes-detail/128-Old-Hawleyville-Rd_Bethel_CT_06801_M38682-68922
"Image for 147 Merrimac Dr, Trumbull, CT 06611 is not found","Sold - Oct 11, 2022","$515,000",3bed,2.5+bath,"3,127sqft",1.17acre lot,/realestateandhomes-detail/147-Merrimac-Dr_Trumbull_CT_06611_M39964-50649
"Image for 21 Rock Ridge Rd, Newtown, CT 06470 is not found","Sold - Oct 11, 2022","$459,000",3bed,2bath,"1,872sqft",1.22acre lot,/realestateandhomes-detail/21-Rock-Ridge-Rd_Newtown_CT_06470_M46804-12087
"Image for 1205 Daniels Farm Rd, Trumbull, CT 06611 is not found","Sold - Oct 7, 2022","$559,900",4bed,2.5bath,"2,142sqft",1acre lot,/realestateandhomes-detail/1205-Daniels-Farm-Rd_Trumbull_CT_06611_M44729-26508
"Image for 105 Danbury Rd, Wilton, CT 06897 is not found","Sold - Oct 7, 2022","$600,000",3bed,2bath,"1,066sqft",1.02acre lot,/realestateandhomes-detail/105-Danbury-Rd_Wilton_CT_06897_M39405-92150
"Image for 95 Great Oak Ln, Redding, CT 06896 is not found","Sold - Oct 6, 2022","$727,000",6bed,3bath,"2,440sqft",2.05acre lot,/realestateandhomes-detail/95-Great-Oak-Ln_Redding_CT_06896_M48858-70601
"Image for 148 Cross Hill Rd, Monroe, CT 06468 is not found","Sold - Oct 6, 2022","$445,000",3bed,2bath,"2,130sqft",1.2acre lot,/realestateandhomes-detail/148-Cross-Hill-Rd_Monroe_CT_06468_M40300-32338
"Image for 35 Key Rock Rd, Newtown, CT 06470 is not found","Sold - Oct 6, 2022","$276,000",3bed,1.5bath,"1,200sqft",1.39acre lot,/realestateandhomes-detail/35-Key-Rock-Rd_Newtown_CT_06470_M33743-52601
"Image for 25 Lakeview Rd, Ossining, NY 10562 is not found","Sold - Oct 6, 2022","$625,000",3bed,2bath,"2,017sqft",1.23acre lot,/realestateandhomes-detail/25-Lakeview-Rd_Ossining_NY_10562_M45233-38524
"Image for 1487 Westview Dr, Yorktown Heights, NY 10598 is not found","Sold - Oct 6, 2022","$675,000",4bed,3bath,"2,200sqft",1.27acre lot,/realestateandhomes-detail/1487-Westview-Dr_Yorktown-Heights_NY_10598_M30295-68559
"Image for 260 Gilbert Hwy, Fairfield, CT 06824 is not found","Sold - Oct 5, 2022","$800,000",4bed,2.5bath,"2,424sqft",2.19acre lot,/realestateandhomes-detail/260-Gilbert-Hwy_Fairfield_CT_06824_M33412-53963
"Image for 9 Oak Ledge Ln, Wilton, CT 06897 is not found","Sold - Oct 5, 2022","$684,950",4bed,2.5bath,"1,363sqft",1.58acre lot,/realestateandhomes-detail/9-Oak-Ledge-Ln_Wilton_CT_06897_M31956-08693
