,solddate,price,beds,baths,sqft,sqftlot,href
"Image for 7 Maltbie Rd, Newtown, CT 06470 is not found","Sold - Aug 3, 2022","$740,000",4bed,3.5bath,"3,033sqft",2acre lot,/realestateandhomes-detail/7-Maltbie-Rd_Newtown_CT_06470_M34113-94948
"Image for 3 Wilderness West Rd, Newtown, CT 06470 is not found","Sold - Aug 3, 2022","$540,000",5bed,2.5bath,"2,607sqft",2.81acre lot,/realestateandhomes-detail/3-Wilderness-West-Rd_Newtown_CT_06470_M37185-89484
"Image for 80 Wedgewood Dr, Easton, CT 06612 is not found","Sold - Aug 3, 2022","$650,000",3bed,2.5bath,"1,896sqft",1.01acre lot,/realestateandhomes-detail/80-Wedgewood-Dr_Easton_CT_06612_M32035-07667
"Image for 233 Saddle Hill Rd, Stamford, CT 06903 is not found","Sold - Aug 2, 2022","$750,000",4bed,3bath,"3,196sqft",1.12acre lot,/realestateandhomes-detail/233-Saddle-Hill-Rd_Stamford_CT_06903_M39249-71423
"Image for 54 Split Level Rd, Ridgefield, CT 06877 is not found","Sold - Aug 2, 2022","$660,000",4bed,2bath,"2,066sqft",1.24acre lot,/realestateandhomes-detail/54-Split-Level-Rd_Ridgefield_CT_06877_M39153-08171
"Image for 1 Crow Hollow Ln, Westport, CT 06880 is not found","Sold - Aug 2, 2022","$575,000",2bed,1.5bath,916sqft,1acre lot,/realestateandhomes-detail/1-Crow-Hollow-Ln_Westport_CT_06880_M41748-94503
,"Sold - Aug 2, 2022","$680,000",4bed,3.5bath,"3,255sqft",1acre lot,/realestateandhomes-detail/4-Sweetbrier-Ln_Monroe_CT_06468_M47636-34733
,"Sold - Aug 2, 2022","$585,000",3bed,2bath,"1,880sqft",2.04acre lot,/realestateandhomes-detail/4-Annarock-Dr_Somers_NY_10589_M40910-87005
,"Sold - Aug 1, 2022","$790,000",4bed,3.5bath,"2,789sqft",2.21acre lot,/realestateandhomes-detail/2-Abbotts-Hill-Rd_Newtown_CT_06470_M30984-09669
"Image for 26 Russet Rd, Stamford, CT 06903 is not found","Sold - Aug 1, 2022","$780,000",4bed,2.5bath,"2,312sqft",1acre lot,/realestateandhomes-detail/26-Russet-Rd_Stamford_CT_06903_M32735-14109
"Image for 167 Tanton Hill Rd, Ridgefield, CT 06877 is not found","Sold - Aug 1, 2022","$800,000",3bed,3bath,"2,628sqft",1.01acre lot,/realestateandhomes-detail/167-Tanton-Hill-Rd_Ridgefield_CT_06877_M47650-10086
"Image for 241 Old Stagecoach Rd, Ridgefield, CT 06877 is not found","Sold - Aug 1, 2022","$737,000",3bed,2bath,"2,048sqft",1.21acre lot,/realestateandhomes-detail/241-Old-Stagecoach-Rd_Ridgefield_CT_06877_M47574-15079
"Image for 7 Highridge Dr, Monroe, CT 06468 is not found","Sold - Aug 1, 2022","$531,900",3bed,1.5bath,"1,734sqft",1.17acre lot,/realestateandhomes-detail/7-Highridge-Dr_Monroe_CT_06468_M45926-47644
"Image for 46 West St, Newtown, CT 06470 is not found","Sold - Aug 1, 2022","$750,000",6bed,3.5bath,"3,598sqft",1.13acre lot,/realestateandhomes-detail/46-West-St_Newtown_CT_06470_M31518-14913
"Image for 29 Harvester Rd, Monroe, CT 06468 is not found","Sold - Aug 1, 2022","$600,000",4bed,2.5bath,"2,156sqft",1.01acre lot,/realestateandhomes-detail/29-Harvester-Rd_Monroe_CT_06468_M44342-64056
"Image for 650 Elm St, Monroe, CT 06468 is not found","Sold - Aug 1, 2022","$575,000",4bed,3.5bath,"2,908sqft",1acre lot,/realestateandhomes-detail/650-Elm-St_Monroe_CT_06468_M44657-83003
