,solddate,price,beds,baths,sqft,sqftlot,href
,"Sold - Aug 2, 2022","$650,000",4bed,2.5bath,"2,489sqft",3.55acre lot,/realestateandhomes-detail/63-Hillside-Ter_Mahopac_NY_10541_M49140-67468
,"Sold - Jul 29, 2022","$725,000",3bed,2bath,"1,802sqft",1.11acre lot,/realestateandhomes-detail/1070-Knollwood-Rd_White-Plains_NY_10603_M41746-12058
,"Sold - Jul 20, 2022","$551,000",3bed,2bath,"2,566sqft",1.43acre lot,/realestateandhomes-detail/30-Nichols-Rd_Brewster_NY_10509_M48494-02834
"Image for 7 Greenlawn Rd, Katonah, NY 10536 is not found","Sold - Jul 19, 2022","$799,000",3bed,3bath,"3,960sqft",2.98acre lot,/realestateandhomes-detail/7-Greenlawn-Rd_Katonah_NY_10536_M47133-55639
"Image for 68 Spruce Knls, Putnam Valley, NY 10579 is not found","Sold - Jul 18, 2022","$575,000",4bed,2bath,"2,246sqft",1.18acre lot,/realestateandhomes-detail/68-Spruce-Knls_Putnam-Valley_NY_10579_M37094-11760
"Image for 95 Cobb Rd, Brewster, NY 10509 is not found","Sold - Jul 18, 2022","$575,000",3bed,2bath,"2,265sqft",1.38acre lot,/realestateandhomes-detail/95-Cobb-Rd_Brewster_NY_10509_M48404-21742
"Image for 22 Emily Ln, Mahopac, NY 10541 is not found","Sold - Jul 18, 2022","$800,000",4bed,3.5bath,"2,624sqft",2.76acre lot,/realestateandhomes-detail/22-Emily-Ln_Mahopac_NY_10541_M43017-62140
"Image for 84 Maple Wood Dr, Brewster, NY 10509 is not found","Sold - Jul 15, 2022","$603,000",3bed,2.5bath,"5,332sqft",1.1acre lot,/realestateandhomes-detail/84-Maple-Wood-Dr_Brewster_NY_10509_M32252-03997
"Image for 155 Carriage Hill Rd, Brewster, NY 10509 is not found","Sold - Jul 14, 2022","$760,000",4bed,2.5bath,"2,911sqft",1.16acre lot,/realestateandhomes-detail/155-Carriage-Hill-Rd_Brewster_NY_10509_M46886-74824
"Image for 11 Granite Springs Rd, Granite Springs, NY 10527 is not found","Sold - Jul 14, 2022","$699,900",4bed,2bath,"2,585sqft",1.12acre lot,/realestateandhomes-detail/11-Granite-Springs-Rd_Granite-Springs_NY_10527_M31212-79890
"Image for 12 Fini Dr, Carmel, NY 10512 is not found","Sold - Jul 14, 2022","$650,000",3bed,2bath,"2,970sqft",1.69acre lot,/realestateandhomes-detail/12-Fini-Dr_Carmel_NY_10512_M40513-35006
