Period,HPI
3/1/2017,188.039
4/1/2017,188.813
5/1/2017,189.707
6/1/2017,190.583
7/1/2017,191.53
8/1/2017,192.761
9/1/2017,193.806
10/1/2017,194.775
11/1/2017,195.847
12/1/2017,197.027
1/1/2018,198.198
2/1/2018,199.192
3/1/2018,200.064
4/1/2018,200.879
5/1/2018,201.657
6/1/2018,202.424
7/1/2018,203.068
8/1/2018,203.841
9/1/2018,204.393
10/1/2018,205.006
11/1/2018,205.403
12/1/2018,205.791
1/1/2019,206.24
2/1/2019,206.721
3/1/2019,207.245
4/1/2019,207.943
5/1/2019,208.597
6/1/2019,209.042
7/1/2019,209.589
8/1/2019,210.335
9/1/2019,210.96
10/1/2019,211.584
11/1/2019,212.335
12/1/2019,213.283
1/1/2020,214.449
2/1/2020,215.583
3/1/2020,216.685
4/1/2020,217.494
5/1/2020,217.738
6/1/2020,218.254
7/1/2020,219.832
8/1/2020,222.679
9/1/2020,225.871
10/1/2020,229.404
11/1/2020,232.528
12/1/2020,235.475
1/1/2021,238.695
2/1/2021,241.853
3/1/2021,245.87
4/1/2021,250.09
5/1/2021,254.561
6/1/2021,259.323
7/1/2021,263.447
8/1/2021,267.183
9/1/2021,270.225
10/1/2021,272.976
11/1/2021,276.189
12/1/2021,279.801
