,price,typ,lat,lon,beds,baths,sqft,zip code,locality
"35 Guernsey Hill Rd Lagrangeville, NY 12540","$574,999",SingleFamilyResidence,41.692848,-73.764206,4bd,Error,"1,986 sqft (on 2.60 acres)",12540,Lagrangeville
"8488 Albany Post Rd Red Hook, NY 12571","$589,900",SingleFamilyResidence,42.056103,-73.844299,3bd,Error,"1,872 sqft (on 4.40 acres)",12571,Red Hook
"224 Scudderhook Rd Hudson, NY 12534","$425,000",SingleFamilyResidence,42.118397,-73.764091,3bd,Error,"2,670 sqft (on 3.90 acres)",12534,Hudson
"43 Carpenter Rd Hopewell Junction, NY 12533","$525,000",SingleFamilyResidence,41.584278,-73.783867,3bd,Error,"2,400 sqft (on 2.10 acres)",12533,Hopewell Junction
"4 Todd Hill Rd Poughkeepsie, NY 12603","$450,000",SingleFamilyResidence,41.664181,-73.811646,3bd,Error,"2,066 sqft (on 4.40 acres)",12603,Poughkeepsie
"631 County Route 11 Ancram, NY 12502","$549,000",SingleFamilyResidence,42.07103,-73.686073,2bd,Error,"1,744 sqft (on 3 acres)",12502,Ancram
Error,Error,Error,Error,Error,,Error,Error,Error,Error
Error,Error,Error,Error,Error,,Error,Error,Error,Error
"531 Union St Hudson, NY 12534","$550,000",SingleFamilyResidence,42.247952,-73.786659,5bd,Error,"2,993 sqft (on 13,068 acres)",12534,Hudson
"671 Noxon Rd Poughkeepsie, NY 12603","$575,000",SingleFamilyResidence,41.648663,-73.823067,4bd,Error,"3,088 sqft (on 2 acres)",12603,Poughkeepsie
"172 S Cross Rd Staatsburg, NY 12580","$449,900",SingleFamilyResidence,41.826645,-73.899605,4bd,Error,"2,279 sqft (on 6.16 acres)",12580,Staatsburg
"646 Milton Tpke Highland, NY 12528","$199,000",SingleFamilyResidence,41.666454,-74.026344,3bd,Error,"1,350 sqft (on 2.56 acres)",12528,Highland
"124 Hill Rd Kingston, NY 12401","$450,000",SingleFamilyResidence,41.986141,-74.042595,3bd,Error,"1,780 sqft (on 2.20 acres)",12401,Kingston
"35 Nicholson Rd Holmes, NY 12531","$499,000",SingleFamilyResidence,41.523781,-73.69558,2bd,Error,"3,694 sqft (on 4.04 acres)",12531,Holmes
"164 S Quaker Ln Hyde Park, NY 12538","$450,000",SingleFamilyResidence,41.776028,-73.866447,4bd,Error,"2,100 sqft (on 80.50 acres)",12538,Hyde Park
"526 Pine Hill Rd Pleasant Valley, NY 12569","$409,500",SingleFamilyResidence,41.785538,-73.788063,4bd,Error,"2,624 sqft (on 4.90 acres)",12569,Pleasant Valley
"437 Depot Hill Rd Poughquag, NY 12570","$569,000",SingleFamilyResidence,41.5807,-73.680489,4bd,Error,"2,582 sqft (on 3.38 acres)",12570,Poughquag
"239 Martin Rd Lagrangeville, NY 12540","$575,000",SingleFamilyResidence,41.62965,-73.731537,3bd,Error,"2,200 sqft (on 2 acres)",12540,Lagrangeville
"633 Bald Hills Rd N Round Top, NY 12473","$299,000",SingleFamilyResidence,42.284729,-74.055931,3bd,Error,"1,394 sqft (on 5.40 acres)",12473,Round Top
"633 Bald Hills Rd N Cairo, NY 12413","$299,000",SingleFamilyResidence,42.28484,-74.055969,3bd,Error,"1,394 sqft (on 5.40 acres)",12413,Cairo
