2017-12-10,1829
2017-12-17,1499
2017-12-24,1287
2017-12-31,2021
2018-01-07,1380
2018-01-14,1285
2018-01-21,1258
2018-01-28,1221
2018-02-04,1163
2018-02-11,1457
2018-02-18,1719
2018-02-25,2322
2018-03-04,1868
2018-03-11,1669
2018-03-18,2333
2018-03-25,2478
2018-04-01,2025
2018-04-08,2083
2018-04-15,2073
2018-04-22,2441
2018-04-29,13149
2018-05-06,10591
2018-05-13,6568
2018-05-20,4762
2018-05-27,3582
2018-06-03,2991
2018-06-10,2392
2018-06-17,2215
2018-06-24,2003
2018-07-01,1922
2018-07-08,1913
2018-07-15,1938
2018-07-22,1676
2018-07-29,1662
2018-08-05,3056
2018-08-12,2391
2018-08-19,2520
2018-08-26,1906
2018-09-02,2106
2018-09-09,1813
2018-09-16,1607
2018-09-23,1577
2018-09-30,1462
2018-10-07,1606
2018-10-14,1550
2018-10-21,1591
2018-10-28,1340
2018-11-04,1253
2018-11-11,1198
2018-11-18,1701
2018-11-25,1535
2018-12-02,1386
2018-12-09,3128
2018-12-16,2220
2018-12-23,1742
2018-12-30,2068
2019-01-06,2144
2019-01-13,1663
2019-01-20,1739
2019-01-27,1591
2019-02-03,1682
2019-02-10,1760
2019-02-17,1319
2019-02-24,1430
2019-03-03,1479
2019-03-10,1766
2019-03-17,3186
2019-03-24,2292
2019-03-31,2278
2019-04-07,2519
2019-04-14,2660
2019-04-21,2992
2019-04-28,12402
2019-05-05,11782
2019-05-12,6500
2019-05-19,3799
2019-05-26,2867
2019-06-02,2754
2019-06-09,2303
2019-06-16,2746
2019-06-23,2113
2019-06-30,1750
2019-07-07,1933
2019-07-14,1763
2019-07-21,1926
2019-07-28,2319
2019-08-04,2274
2019-08-11,1835
2019-08-18,1846
2019-08-25,1973
2019-09-01,2081
2019-09-08,1717
2019-09-15,1503
2019-09-22,1408
2019-09-29,1559
2019-10-06,1242
2019-10-13,1188
2019-10-20,1069
2019-10-27,1040
2019-11-03,1064
2019-11-10,1119
2019-11-17,1403
2019-11-24,1329
2019-12-01,1179
2019-12-08,1068
2019-12-15,1172
2019-12-22,1037
2019-12-29,1393
2020-01-05,1413
2020-01-12,1214
2020-01-19,1237
2020-01-26,1170
2020-02-02,1159
2020-02-09,1049
2020-02-16,381
