Period,UNEMP,Months of Supply,Homes for Sale,Homes for Sale NE,Mortgage Rate,Permits-Valuation,Permits-Valuation NE,Permits-Number,Permits-Number NE,Housing Starts,Housing Starts NE,CONST,Consumption,Disposable Income,Savings,Fed Funds Rate,Homes Sold,Homes Sold NE,GDP Monthly Index
11/1/2019,3.6,5.5,325,29,3.7,21209.98,2096.33,111,13.7,917,65,572412,14667.6,14885.9,1227.8,624.0,700,34,101.0948193461770
12/1/2019,3.6,5.3,327,28,3.72,21597.08,2143.65,110.7,13,1012,65,581530,14686.3,14844.1,1193.8,620.0,733,39,101.1151862073790
1/1/2020,3.5,5.1,329,27,3.62,23066.85,2175.81,116.4,13.2,992,63,591497,14769.9,14976.5,1293.8,636.0,756,32,101.1013847797230
2/1/2020,3.5,5.3,326,26,3.47,21573.97,1497.14,102.9,8.3,1055,65,609742,14785.1,15068.8,1392.4,632.0,730,43,101.0331534106920
3/1/2020,4.4,6.3,328,27,3.45,24027.23,1632.71,119,9.6,895,57,617567,13762.2,14844.0,2147.9,32.0,623,24,96.1755823398454
4/1/2020,14.7,6.6,321,26,3.31,19776.32,932.74,98.4,5,685,23,597672,12021.8,17170.7,6392.5,20.0,582,22,93.2141552396626
5/1/2020,13.2,5.3,308,25,3.23,21357.95,1631.51,107.3,9.6,733,35,584171,13058.1,16333.0,4478.1,20.0,704,33,91.7391654410746
6/1/2020,11,4.3,299,24,3.16,25978.82,2328.39,127.2,13.5,903,77,590445,13889.3,16057.3,3445.3,32.0,839,52,93.5633712630511
7/1/2020,10.2,3.6,290,23,3.02,28154.57,2528.85,138.9,13.3,995,72,608617,14129.2,16151.9,3359.4,40.0,972,42,95.3719783755668
8/1/2020,8.4,3.5,283,22,2.94,26393.03,1790.56,128.9,10.3,1023,59,632725,14270.5,15553.9,2598.4,36.0,977,46,97.1794112921563
9/1/2020,7.9,3.5,286,22,2.89,27855.55,2312.9,136.3,13.7,1105,68,648272,14481.7,15643.4,2506.2,36.0,971,38,97.4300827937952
10/1/2020,6.9,3.5,284,21,2.83,28535.29,2149.26,135.9,12,1162,56,664062,14546.0,15568.4,2370.9,36.0,969,41,97.7103744293342
11/1/2020,6.7,4,290,23,2.77,24993.87,2302.57,123.1,13.2,1182,71,684497,14467.3,15366.5,2239.3,36.0,865,34,97.9874028629484
12/1/2020,6.7,3.8,302,25,2.68,28738.53,2363.49,137,13.1,1315,84,704835,14389.5,15393.8,2426.2,36.0,943,41,98.3310102653951
1/1/2021,6.4,3.6,300,26,2.74,27128.76,2494.64,128.8,13.4,1143,79,731248,14857.9,16988.6,3798.6,28.0,993,47,98.5786337177635
2/1/2021,6.2,4.5,303,26,2.81,25750.82,1956.88,120.1,10.8,1069,69,729266,14699.6,15548.2,2376.9,28.0,823,40,98.7474273798207
3/1/2021,6,4.2,305,26,3.08,34620.33,2534.15,157.6,13,1255,95,745016,15458.9,19119.5,5763.5,24.0,873,47,98.8824435022505
4/1/2021,6,4.8,315,26,3.06,34074.37,2595.49,157.9,13.6,1061,74,752819,15618.7,16146.9,2331.1,20.0,796,41,99.0655858835580
5/1/2021,5.8,5.4,327,25,2.96,31691.22,2501.82,142.3,13.1,1098,63,762852,15624.4,15669.5,1872.8,20.0,733,40,99.3251667324746
6/1/2021,5.9,6.1,350,26,2.98,33539.45,2715.76,154.5,13.5,1161,79,780726,15802.0,15603.3,1713.2,32.0,683,28,99.5619136707965
7/1/2021,5.4,6.2,364,28,2.87,30961.16,2294.04,139.2,11.4,1112,42,775917,15814.9,15735.2,1920.5,28.0,704,27,99.7828953781567
8/1/2021,5.2,6.8,380,29,2.84,32113.64,2635.99,154.6,13.3,1088,67,780511,15991.1,15720.0,1795.2,24.0,668,31,100.0052836188400
9/1/2021,4.7,6.3,381,29,2.9,29598.42,2135.36,134.6,10.4,1089,69,791074,16088.9,15466.3,1463.7,24.0,725,31,100.2437758055440
10/1/2021,4.6,7,387,29,3.07,29064.97,2009.12,136.4,10.5,1074,54,795324,16317.8,15444.1,1323.3,28.0,667,31,100.4977445887800
11/1/2021,4.2,6.3,398,30,3.07,28837.48,2311.98,131.8,12.5,1222,63,801584,16409.7,15427.5,1319.0,28.0,749,29,100.7596626178500
12/1/2021,3.9,5.6,398,32,3.1,32053.6,4739.98,153.2,25.4,1182,66,818957,16278.8,15380.1,1493.2,28.0,839,28,100.7596626178500
